,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,TEAM_ID,TEAM_CITY_NAME,TEAM_WINS_LOSSES,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,PTS_OT1,PTS_OT2,PTS_OT3,PTS_OT4,PTS_OT5,PTS_OT6,PTS_OT7,PTS_OT8,PTS_OT9,PTS_OT10,PTS,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,MIN,EFG_PCT,FTA_RATE,TM_TOV_PCT,OREB_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,OPP_OREB_PCT,TEAM_ABBREVIATION,WL,PTDIFF
2303,2018-04-01T00:00:00,10,0021701152,1610612743,Denver,42-35,22.0,41.0,16.0,32.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,128.0,0.444,0.804,0.306,27.0,57.0,17.0,265:00,0.506,0.511,0.154,0.33299999999999996,0.51,0.27,0.08199999999999999,0.21600000000000003,DEN,w,3.0
2024,2018-03-13T00:00:00,10,0021701014,1610612739,Cleveland,39-28,38.0,30.0,34.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,0.494,0.867,0.486,25.0,44.0,19.0,240:00,0.5920000000000001,0.345,0.174,0.122,0.418,0.306,0.152,0.22,CLE,w,22.0
2025,2018-03-13T00:00:00,10,0021701014,1610612756,Phoenix,19-50,18.0,34.0,28.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,0.38799999999999996,0.833,0.188,17.0,47.0,18.0,240:00,0.418,0.306,0.152,0.22,0.5920000000000001,0.345,0.174,0.122,PHX,l,-22.0
2026,2018-03-13T00:00:00,11,0021701015,1610612743,Denver,37-31,22.0,25.0,35.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.442,0.737,0.325,26.0,44.0,19.0,240:00,0.517,0.221,0.183,0.111,0.528,0.278,0.16,0.235,DEN,l,-9.0
2027,2018-03-13T00:00:00,11,0021701015,1610612747,Los Angeles,31-36,35.0,13.0,29.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.444,0.68,0.375,20.0,52.0,15.0,240:00,0.528,0.278,0.16,0.235,0.517,0.221,0.183,0.111,LAL,w,9.0
2028,2018-03-14T00:00:00,1,0021701016,1610612749,Milwaukee,36-32,20.0,32.0,28.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.5,0.75,0.41700000000000004,28.0,37.0,11.0,240:00,0.551,0.122,0.10400000000000001,0.214,0.609,0.264,0.17,0.243,MIL,l,-9.0
2029,2018-03-14T00:00:00,1,0021701016,1610612753,Orlando,21-48,36.0,25.0,30.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.506,0.87,0.529,31.0,42.0,17.0,240:00,0.609,0.264,0.17,0.243,0.551,0.122,0.10400000000000001,0.214,ORL,w,9.0
2030,2018-03-14T00:00:00,2,0021701017,1610612764,Washington,39-30,23.0,29.0,29.0,25.0,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.0,0.474,0.75,0.375,29.0,52.0,19.0,290:00,0.536,0.289,0.172,0.27699999999999997,0.545,0.23199999999999998,0.146,0.204,WAS,w,1.0
2031,2018-03-14T00:00:00,2,0021701017,1610612738,Boston,46-22,37.0,22.0,21.0,26.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,0.485,0.696,0.462,30.0,44.0,17.0,290:00,0.545,0.23199999999999998,0.146,0.204,0.536,0.289,0.172,0.27699999999999997,BOS,l,-1.0
2016,2018-03-13T00:00:00,6,0021701010,1610612746,LA,37-29,31.0,31.0,28.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.48700000000000004,0.732,0.276,27.0,42.0,14.0,240:00,0.539,0.539,0.13699999999999998,0.15,0.46,0.149,0.085,0.23399999999999999,LAC,w,6.0
2017,2018-03-13T00:00:00,6,0021701010,1610612741,Chicago,23-44,27.0,33.0,18.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.426,0.867,0.24100000000000002,26.0,45.0,9.0,240:00,0.46,0.149,0.085,0.23399999999999999,0.539,0.539,0.13699999999999998,0.15,CHI,l,-6.0
2018,2018-03-13T00:00:00,7,0021701011,1610612766,Charlotte,29-39,32.0,33.0,27.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.484,0.818,0.26899999999999996,22.0,45.0,13.0,240:00,0.522,0.237,0.129,0.182,0.5429999999999999,0.077,0.114,0.275,CHA,l,-4.0
2019,2018-03-13T00:00:00,7,0021701011,1610612740,New Orleans,39-28,37.0,35.0,20.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.5,0.75,0.409,33.0,50.0,12.0,240:00,0.5429999999999999,0.077,0.114,0.275,0.522,0.237,0.129,0.182,NOP,w,4.0
2020,2018-03-13T00:00:00,8,0021701012,1610612753,Orlando,20-48,18.0,19.0,20.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.341,1.0,0.304,16.0,41.0,20.0,240:00,0.384,0.11,0.214,0.196,0.53,0.27399999999999997,0.135,0.256,ORL,l,-36.0
2021,2018-03-13T00:00:00,8,0021701012,1610612759,San Antonio,38-30,24.0,38.0,34.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.47600000000000003,0.826,0.474,24.0,48.0,12.0,240:00,0.53,0.27399999999999997,0.135,0.256,0.384,0.11,0.214,0.196,SAS,w,36.0
2022,2018-03-13T00:00:00,9,0021701013,1610612765,Detroit,30-37,21.0,18.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.375,0.737,0.2,14.0,32.0,17.0,240:00,0.406,0.23800000000000002,0.183,0.163,0.638,0.303,0.242,0.314,DET,l,-31.0
2023,2018-03-13T00:00:00,9,0021701013,1610612762,Utah,38-30,42.0,22.0,22.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.5529999999999999,0.565,0.382,29.0,52.0,22.0,240:00,0.638,0.303,0.242,0.314,0.406,0.23800000000000002,0.183,0.163,UTA,w,31.0
764,2017-12-09T00:00:00,9,0021700383,1610612759,San Antonio,19-8,28.0,24.0,27.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.0,0.46,0.72,0.316,18.0,52.0,15.0,240:00,0.494,0.287,0.158,0.375,0.48100000000000004,0.375,0.11699999999999999,0.22699999999999998,SAS,w,3.0
765,2017-12-09T00:00:00,9,0021700383,1610612756,Phoenix,9-19,17.0,22.0,32.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.43799999999999994,0.8,0.28,11.0,40.0,10.0,240:00,0.48100000000000004,0.375,0.11699999999999999,0.22699999999999998,0.494,0.287,0.158,0.375,PHX,l,-3.0
2032,2018-03-14T00:00:00,3,0021701018,1610612748,Miami,36-33,31.0,21.0,27.0,32.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.414,0.905,0.419,26.0,53.0,14.0,265:00,0.505,0.212,0.139,0.3,0.5529999999999999,0.266,0.102,0.174,MIA,l,-4.0
2033,2018-03-14T00:00:00,3,0021701018,1610612758,Sacramento,22-47,24.0,35.0,32.0,20.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,0.511,0.76,0.33299999999999996,23.0,43.0,11.0,265:00,0.5529999999999999,0.266,0.102,0.174,0.505,0.212,0.139,0.3,SAC,w,4.0
